Velocidade do compressor rpm, Vazão volumétrica m3/min,Pressão total Pa,Pressão estática Pa,Pressão dinâmica Pa,Temperatura do ar °C,Umidade do ar  %,Tensão monofasica volts,Corrente monofasica amp,FP,Potencia ativa Wattios,Potência reativa VAR,Valvula
3480,2.00,2159.95,1986.17,173.782,32.789,75.164,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2139.39,1960.91,178.473,32.745,75.202,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2137.44,1954.47,182.971,32.759,75.256,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2154.21,1967.18,187.028,32.804,75.25,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2188.15,1997.71,190.439,32.852,75.135,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2236.10,2043.13,192.968,32.882,75.025,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2293.01,2098.47,194.539,32.889,75.022,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2345.38,2150.40,194.978,32.862,75.009,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2380.63,2186.57,194.06,32.817,74.955,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2400.50,2208.65,191.851,32.805,74.944,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2409.63,2221.10,188.525,32.851,74.971,221.7,4.9,0.57,628.8,889.4,P1
3480,1.64,2449.81,2321.12,128.688,32.632,74.787,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2485.21,2358.26,126.954,32.742,74.976,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2515.07,2390.59,124.481,32.839,75.165,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2534.71,2413.53,121.174,32.884,75.277,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2544.90,2427.55,117.353,32.902,75.271,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2545.48,2431.82,113.665,32.929,75.17,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2536.47,2425.81,110.661,32.958,75.064,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2517.39,2408.63,108.761,32.985,75.027,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2489.56,2381.23,108.324,32.993,75.08,221.6,4.76,0.57,608.6,862.7,P2
3480,1.64,2455.59,2345.89,109.698,32.962,75.174,221.6,4.76,0.57,608.6,862.7,P2
